,Modelo,Precio,Tamaño,Distancia,Tecnología,Resolución,Smart TV,Sonido,Altavoces,HDMI,Marca
50,TV SAMSUNG QE75QN800A (Neo QLED - 75'' - 189 cm - 8K Ultra HD - Smart TV),4999.0,75,,LCD-LED,8K Ultra HD,Sí,70 W,4.2.2,4,SAMSUNG
51,TV LG 82UP80006LA (LED - 82'' - 208 cm - 4K Ultra HD - Smart TV),1295.0,82,2.5,LCD-LED,4K Ultra HD,Sí,20 W,2.0,4,LG
52,TV PHILIPS 43PUS7956 (LED - 43'' - 109 cm - 4K Ultra HD - Smart TV),419.99,43,1.31,LCD-LED,4K Ultra HD,Sí,20 W,2.0,4,PHILIPS
53,TV LG 75UP80006LA (LED - 75'' - 191 cm - 4K Ultra HD - Smart TV),895.0,75,,LCD-LED,4K Ultra HD,Sí,20 W,2.0,3,LG
54,TV PHILIPS 50PUS7956 (LED - 50'' - 127 cm - 4K Ultra HD - Smart TV),459.0,50,1.52,LCD-LED,4K Ultra HD,Sí,20 W,2.0,4,PHILIPS
55,TV LG 49UN711 (LED - 49'' 124 cm - 4k Ultra HD - Smart TV),409.0,49,,,4K Ultra HD,yes,,,,LG
56,TV SAMSUNG UE50AU7175 (LED - 50'' - 127 cm - 4K Ultra HD - Smart TV),459.0,50,1.52,LCD-LED,4K Ultra HD,Sí,20W,2.0,3,SAMSUNG
57,TV SAMSUNG QE65QN95A (Neo QLED - 65'' - 165 cm - 4K Ultra HD - Smart TV),2194.99,65,1.98,LCD-LED,4K Ultra HD,Sí,70 W,4.2.2,4,SAMSUNG
58,TV HISENSE 65A7GQ (QLED - 65'' - 165 cm - 4K Ultra HD - Smart TV),718.0,65,1.98,LCD-LED,4K Ultra HD,Sí,20 W,2.0,3,HISENSE
59,TV CHIQ L40H7N (LED - 40'' - Full HD - Smart TV),245.99,40,,LED,Full HD,Sí,,,3,CHIQ
60,TV SILVER 411336 (LED - 40'' - 102 cm - HD - Smart TV),356.76,40,1.5,LCD-LED,HD / HD Ready,Sí,16 W,2.0,2,SILVER
61,TV SONY KD-85X85J (LED - 85'' - 216 cm - 4K Ultra HD - Smart TV),2229.0,85,2.59,LCD-LED,4K Ultra HD,Sí,20 W,2.0,4,SONY
62,TV PHILIPS 43PUS8536 (LED - 43'' - 109 cm - 4K Ultra HD - Smart TV),559.99,43,1.31,LCD-LED,4K Ultra HD,Sí,20 W,2.0,4,PHILIPS
63,TV SILVER 409213 (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),746.95,65,1.98,LCD-LED,4K Ultra HD,Sí,,,3,SILVER
64,TV SAMSUNG UE55TU7025 (LED - 55'' - 140 cm - 4K Ultra HD - Smart TV),629.99,55,1.68,LCD-LED,4K Ultra HD,Sí,20 W,,2,SAMSUNG
65,TV SONY XR65X95J (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),1829.0,65,1.98,LCD,4K Ultra HD,Sí,50 W,,4,SONY
66,TV SONY KD50X81J (LED - 50'' - 127 cm - 4K Ultra HD - Smart TV),679.99,50,1.52,LCD-LED,4K Ultra HD,Sí,20 W,2.0,4,SONY
67,TV SONY KD43XF8596BAEP (Caja Abierta - LED - 43'' - 109 cm - 4K Ultra HD - Smart TV),384.47,43,1.31,LCD-LED,4K Ultra HD,Sí,20 W,2.0,4,SONY
68,TV SAMSUNG UE75AU9005 (LED - 75'' - 189 cm - 4K Ultra HD - Smart TV),1217.99,75,,LCD-LED,4K Ultra HD,Sí,20 W,2,3,SAMSUNG
69,TV HISENSE 65A7100F (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),589.99,65,1.98,LCD-LED,4K Ultra HD,Sí,16 W,2,3,HISENSE
70,TV PHILIPS 50PUS8536 (LED - 50'' - 127 cm - 4K Ultra HD - Smart TV),669.99,50,1.52,LCD-LED,4K Ultra HD,Sí,20 W,2.0,4,PHILIPS
71,TV SONY XR65X90J (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),1159.0,65,1.98,LCD-LED,4K Ultra HD,Sí,2.0,,4,SONY
72,TV LG 50NANO886PB (Nano Cell - 50'' - 127 cm - 4K Ultra HD - Smart TV),1183.19,50,1.52,LCD-LED,4K Ultra HD,Sí,20 W,2.0,4,LG
73,TV LG 55NANO886PB (Nano Cell - 55'' - 140 cm - 4K Ultra HD - Smart TV),845.0,55,1.68,LCD-LED,4K Ultra HD,Sí,20 W,2.0,4,LG
74,TV SAMSUNG UE43AU9005 (LED - 43'' - 109 cm - 4K Ultra HD - Smart TV),596.99,43,1.31,LCD-LED,4K Ultra HD,Sí,20 W,2,3,SAMSUNG
75,TV PHILIPS 43PUS7406 (LED - 43'' - 109 cm - 4K Ultra HD - Smart TV),389.99,43,1.31,LCD-LED,4K Ultra HD,Sí,20 W,2.0,4,PHILIPS
76,TV SONY KD55X81J (LED - 55'' - 140 cm - 4K Ultra HD - Smart TV),759.99,55,1.68,LCD-LED,4K Ultra HD,Sí,20 W,2.0,4,SONY
77,TV LG 50UP81006 (LED - 50'' - 127 cm - 4K Ultra HD - Smart TV),578.99,50,1.52,LCD-LED,4K Ultra HD,Sí,20 W,2.0,3,LG
78,TV SAMSUNG QE65Q70RATXXC (Caja Abierta - QLED - 65'' - 165 cm - 4K Ultra HD - Smart TV),847.47,65,,,4K Ultra HD,Apps y Web Browsing,,,4,SAMSUNG
79,TV HISENSE 55U7QF (ULED Quantum Dot - 55'' - 140 cm - 4K Ultra HD - Smart TV),516.9,55,1.68,LCD-LED,4K Ultra HD,Sí,10 W,2.0,4,HISENSE
80,TV LG OLED88Z19 (OLED - 88'' - 224 cm - 8K Ultra HD - Smart TV),24599.0,88,2.8,OLED,8K Ultra HD,Sí,80 W,4.2,4,LG
81,TV HISENSE 43A7100F (LED - 43'' - 109 cm - 4K Ultra HD - Smart TV),340.99,43,1.2,LCD-LED,4K Ultra HD,Sí,,2,3,HISENSE
